UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2022-OR952S-022296,0.5,Class B,2022-10-07T21:53:00Z,214.46666666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORNGIN-000958,124.43,Class D,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022305,1.37,Class B,2022-10-17T16:15:00Z,266.21666666666664,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR972S-000530,142.27,Class D,2022-10-24T15:00:00Z,426.65,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000984,0.04,Class A,2022-10-16T18:26:00Z,140.2927777777778,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022328,69.45,Class C,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022322,18.33,Class C,2022-10-28T18:28:00Z,92.31333333333332,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000502,0,Class A,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2023-ORLAD-230009,1,Class B,NA,NA,NA,NA,RX,0,2023,NA,NA,FALSE,TRUE
2023-ORDEF-000022,0.1,Class A,2023-01-25T20:40:00Z,2.7,NA,NA,WF,0,2023,NA,NA,FALSE,TRUE
2015-ORUMA-000002,129,Class D,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000003,75,Class C,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000004,248,Class D,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000005,1,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000006,0.1,Class A,NA,NA,NA,NA,WF,0.1,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000007,10,Class C,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000008,0.1,Class A,NA,NA,NA,NA,WF,0.1,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000010,2,Class B,NA,NA,NA,NA,WF,2,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000011,21,Class C,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORUMA-000012,230,Class D,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2016-ORUMA-000001,0.2,Class A,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000002,0.1,Class A,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000004,0.3,Class B,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000007,0.5,Class B,NA,NA,NA,NA,WF,0.5,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000010,0.1,Class A,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000011,2.5,Class B,NA,NA,NA,NA,WF,2.5,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000012,688,Class E,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000013,3,Class B,NA,NA,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000014,0.1,Class A,NA,NA,NA,NA,WF,0.1,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000017,100,Class D,NA,NA,NA,NA,WF,100,2016,NA,NA,FALSE,TRUE
2016-ORUMA-000018,0.1,Class A,NA,NA,NA,NA,WF,0.1,2016,NA,NA,FALSE,TRUE
2017-ORUMA-000003,0.5,Class B,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000004,1.6,Class B,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000008,20.1,Class C,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000010,221,Class D,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000012,0.3,Class B,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000016,0.5,Class B,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000017,0.1,Class A,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000019,0.1,Class A,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORUMA-000022,2.4,Class B,NA,NA,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2018-ORUMA-000005,0.1,Class A,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORUMA-000007,6.7,Class B,NA,NA,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
