geometry,index,is_indigenous,n_wildfires,wf_uids,max_acres,max_acres_tribal,min_mgmt,max_duration,max_size_class,n_rx_fires,rx_uids,rx_max_acres,rx_max_acres_tribal,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_pinus,n_salix,n_quercus,n_populus,n_thuja,n_xerophyllum,n_rubus,plant_sum
"list(c(-121.102441002613, -121.052441002613, -121.052441002613, -121.102441002613, -121.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",65,0,4,"2021-ORLAD-210420, 2017-ORLAD-000233, 2018-ORLAD-000284, 2021-ORLAD-210228",823.85,0,3,1601.98333333333,Class E,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-121.052441002613, -121.002441002613, -121.002441002613, -121.052441002613, -121.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",66,0,0,NA,0,0,NA,NA,Class A,1,2023-ORLAD-230048,1,0,NA,NA,Class B,1,0,0,0,0,0,0,1
"list(c(-121.002441002613, -120.952441002613, -120.952441002613, -121.002441002613, -121.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",67,0,3,"2016-ORLAD-000341, 2017-ORLAD-000407, 2017-ORLAD-000635",1.7,0,NA,709.049722222222,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.952441002613, -120.902441002613, -120.902441002613, -120.952441002613, -120.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",68,0,2,"2023-ORLAD-230151, 2017-ORLAD-000574",43,0,NA,1208.99972222222,Class C,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.902441002613, -120.852441002613, -120.852441002613, -120.902441002613, -120.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",69,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.852441002613, -120.802441002613, -120.802441002613, -120.852441002613, -120.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",70,0,1,2025-OR982S-250227,1.9,0,NA,339.294166666667,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.802441002613, -120.752441002613, -120.752441002613, -120.802441002613, -120.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",71,0,2,"2024-ORFWF-240240, 2022-ORFWF-220243",3,0,NA,231.444444444444,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.752441002613, -120.702441002613, -120.702441002613, -120.752441002613, -120.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",72,0,1,2020-ORFWF-200332,0.1,0,NA,89.7077777777778,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.702441002613, -120.652441002613, -120.652441002613, -120.702441002613, -120.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",73,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.652441002613, -120.602441002613, -120.602441002613, -120.652441002613, -120.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",74,0,1,2025-ORFWF-250491,0.1,0,NA,96.4363888888889,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.602441002613, -120.552441002613, -120.552441002613, -120.602441002613, -120.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",75,0,1,2021-ORFWF-210315,1,0,NA,NA,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-120.552441002613, -120.502441002613, -120.502441002613, -120.552441002613, -120.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",76,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
